instrumento,id,capitulo,tipo,competencia,suporte,dificuldade_score,posicao_A,gabarito_A,posicao_B,gabarito_B,permutacao_B
prova_i_unidade,AED-C08-O09,8,O,decisão,Situação profissional e suporte quantitativo,2.65,1,A,5,A,"A→A, D→B, E→C, C→D, B→E"
prova_i_unidade,AED-C03-O05,3,O,Testar independência,Urgência e reabertura,2.786,2,C,4,C,"E→A, A→B, C→C, B→D, D→E"
prova_i_unidade,AED-C05-O03,5,O,Declarar grão,Tabela de pedidos,1.686,3,B,1,E,"A→A, D→B, C→C, E→D, B→E"
prova_i_unidade,AED-C04-O03,4,O,Evitar distorção de eixo,Variação mensal,2.257,4,B,8,E,"A→A, E→B, C→C, D→D, B→E"
prova_i_unidade,AED-C07-D13,7,D,Integrar evidências e justificar decisão,Caso profissional do capítulo,4.843,5,—,7,—,—
prova_i_unidade,AED-C01-O09,1,O,Selecionar evidência para uma decisão,Dashboard comercial,2.114,6,B,6,A,"B→A, C→B, A→C, D→D, E→E"
prova_i_unidade,AED-C02-D13,2,D,Explicar o divisor amostral,Amostra de equipamentos,3.714,7,—,3,—,—
prova_i_unidade,AED-C06-O09,6,O,storytelling,Situação profissional e suporte quantitativo,3.664,8,A,2,B,"D→A, A→B, B→C, E→D, C→E"
prova_ii_unidade,AED-C09-O03,9,O,validação,Situação profissional e suporte quantitativo,1.9,1,D,4,E,"C→A, B→B, A→C, E→D, D→E"
prova_ii_unidade,AED-C10-D13,10,D,Integrar evidências e justificar decisão,Caso profissional do capítulo,4.421,2,—,3,—,—
prova_ii_unidade,AED-C14-O05,14,O,Distinguir alucinação de desatualização,Política revogada,2.05,3,B,1,B,"E→A, B→B, D→C, A→D, C→E"
prova_ii_unidade,AED-C11-D13,11,D,Desenhar arquitetura híbrida,BI corporativo e Streamlit,2.607,4,—,8,—,—
prova_ii_unidade,AED-C12-O07,12,O,Garantir saída estruturada,Gráfico sugerido pelo Llama,1.8,5,B,5,B,"D→A, B→B, E→C, C→D, A→E"
prova_ii_unidade,AED-C11-O03,11,O,Distinguir modelo semântico de visualização,Dois totais para a mesma receita,2.086,6,D,6,A,"D→A, B→B, C→C, E→D, A→E"
prova_ii_unidade,AED-C10-O01,10,O,semântica,Situação profissional e suporte quantitativo,2.757,7,C,7,D,"E→A, D→B, A→C, C→D, B→E"
